h,impulse,response,mean,median,lower,upper,version,model
9,,output,,-0.335373430287269,-0.498760650468169,-0.179169571851456,original,bayesian_fd
10,,output,,-0.278775349506455,-0.453617002653292,-0.121392765964404,original,bayesian_fd
11,,output,,-0.228162629231384,-0.411974504811833,-0.0622421957874676,original,bayesian_fd
12,,output,,-0.186480842643153,-0.368024684470618,-0.014440199519535,original,bayesian_fd
13,,output,,-0.146077708714401,-0.328212669837347,0.0303226948272361,original,bayesian_fd
14,,output,,-0.11577692706736,-0.301105114593789,0.0614716877130193,original,bayesian_fd
15,,output,,-0.0904027518583681,-0.273506451629812,0.0966536215315491,original,bayesian_fd
16,,output,,-0.0692302184204585,-0.251201493131263,0.121488100399274,original,bayesian_fd
17,,output,,-0.0508328271315462,-0.230750258245573,0.143071015600611,original,bayesian_fd
18,,output,,-0.0381122681332401,-0.217751905382388,0.154503140768612,original,bayesian_fd
19,,output,,-0.0280516768462443,-0.213003616148926,0.164655019300454,original,bayesian_fd
20,,output,,-0.0246292549475905,-0.208055662502907,0.170557170883475,original,bayesian_fd
21,,output,,-0.0195883466765836,-0.206949337906155,0.171449898944723,original,bayesian_fd
22,,output,,-0.0218421370778056,-0.204041664107204,0.168526605964801,original,bayesian_fd
23,,output,,-0.0258547242147723,-0.20521990701756,0.159606885359724,original,bayesian_fd
24,,output,,-0.0274142785889907,-0.20965124977689,0.149735980505668,original,bayesian_fd
25,,output,,-0.0327262653312105,-0.214295453227124,0.142361464258424,original,bayesian_fd
26,,output,,-0.0394562071498796,-0.219305095156401,0.131038350531945,original,bayesian_fd
27,,output,,-0.0475487735642686,-0.226773204964666,0.121118903701731,original,bayesian_fd
28,,output,,-0.0575190467062128,-0.235540422917493,0.108820167268721,original,bayesian_fd
29,,output,,-0.0657695633599585,-0.241027690512465,0.097651961540022,original,bayesian_fd
30,,output,,-0.074364804217542,-0.249180179983064,0.0895116286429528,original,bayesian_fd
31,,output,,-0.0821220996638201,-0.254198529108962,0.0780389856803572,original,bayesian_fd
32,,output,,-0.0896035184289277,-0.262090274756633,0.0666410681393361,original,bayesian_fd
33,,output,,-0.0941235090016085,-0.266971331176279,0.0570483385446124,original,bayesian_fd
34,,output,,-0.101040215377037,-0.270720205132471,0.0468925434580379,original,bayesian_fd
35,,output,,-0.106612401127438,-0.272580390725106,0.0420455264280701,original,bayesian_fd
36,,output,,-0.110989030488748,-0.275506025081384,0.0387452284045619,original,bayesian_fd
37,,output,,-0.11422289764768,-0.278616235934305,0.0351070430916168,original,bayesian_fd
38,,output,,-0.118149712301762,-0.280842725444187,0.0301383061799874,original,bayesian_fd
39,,output,,-0.120473331129985,-0.283160102845421,0.0267307884808591,original,bayesian_fd
40,,output,,-0.121760653737154,-0.288343225586911,0.0261705474747396,original,bayesian_fd
1,,investment,,-2.3386954450789,-2.51370732663148,-2.14045062291856,original,bayesian_fd
2,,investment,,-2.39257505872123,-2.60473470759903,-2.14416271929305,original,bayesian_fd
3,,investment,,-2.191290783249,-2.46779316781897,-1.89077873796753,original,bayesian_fd
4,,investment,,-1.93901663685567,-2.28587344303813,-1.59129267659671,original,bayesian_fd
5,,investment,,-1.67477439619519,-2.06207889778673,-1.27643598439084,original,bayesian_fd
6,,investment,,-1.39784345453621,-1.83089263299738,-0.957337349300595,original,bayesian_fd
7,,investment,,-1.12378273501448,-1.58379371918984,-0.664887612419502,original,bayesian_fd
8,,investment,,-0.866767309116021,-1.34133673051679,-0.403198186696951,original,bayesian_fd
9,,investment,,-0.632601486284993,-1.11107244538817,-0.160575175763426,original,bayesian_fd
10,,investment,,-0.41552270247302,-0.90073425950726,0.0655003559692573,original,bayesian_fd
11,,investment,,-0.221462323927701,-0.709805765656784,0.252569491502091,original,bayesian_fd
12,,investment,,-0.0627538795715712,-0.54696529336483,0.402312787647907,original,bayesian_fd
13,,investment,,0.0691069659757687,-0.39629925829687,0.543392559766516,original,bayesian_fd
14,,investment,,0.184590323355195,-0.291682062537735,0.658669308794618,original,bayesian_fd
15,,investment,,0.252326638562616,-0.199141109127204,0.730503136560564,original,bayesian_fd
16,,investment,,0.319144115307624,-0.132830325494253,0.794282849792385,original,bayesian_fd
17,,investment,,0.351966010850043,-0.0951739058326078,0.831235086065972,original,bayesian_fd
18,,investment,,0.367452084470317,-0.0780704839724477,0.8469473979308,original,bayesian_fd
19,,investment,,0.364500672825685,-0.068756848686949,0.837686102647152,original,bayesian_fd
20,,investment,,0.354899908951112,-0.0730725594546595,0.829830108640319,original,bayesian_fd
21,,investment,,0.328712077172764,-0.0695441276618656,0.795304032033541,original,bayesian_fd
22,,investment,,0.293936939780185,-0.0888669000114995,0.754936318551266,original,bayesian_fd
23,,investment,,0.256826370262953,-0.118874161648468,0.698574739642316,original,bayesian_fd
24,,investment,,0.21289637553247,-0.153740160540559,0.635720725419407,original,bayesian_fd
25,,investment,,0.171797785870969,-0.192039724533986,0.581413361659787,original,bayesian_fd
26,,investment,,0.123323808565959,-0.221121044566559,0.515277449732445,original,bayesian_fd
27,,investment,,0.0788041503180658,-0.256788479358765,0.459369505428556,original,bayesian_fd
28,,investment,,0.0343868620555576,-0.296491628832261,0.400076048447249,original,bayesian_fd
29,,investment,,-0.00323971545569871,-0.332061582133237,0.347118273508607,original,bayesian_fd
30,,investment,,-0.0391862891050385,-0.356934349575922,0.290887248940262,original,bayesian_fd
31,,investment,,-0.0813388798847096,-0.388167263205831,0.231810371162095,original,bayesian_fd
32,,investment,,-0.114379317604463,-0.417727068820329,0.191258139765314,original,bayesian_fd
33,,investment,,-0.141875964731306,-0.448479063489483,0.154259307046356,original,bayesian_fd
34,,investment,,-0.163363209191493,-0.461656982850416,0.126206834574517,original,bayesian_fd
35,,investment,,-0.180068072399231,-0.474662000993833,0.103740425959081,original,bayesian_fd
36,,investment,,-0.195851914895873,-0.490695569582428,0.084008227335988,original,bayesian_fd
37,,investment,,-0.204097552729979,-0.498070910904965,0.0591857427244269,original,bayesian_fd
38,,investment,,-0.210678090018245,-0.50665791164538,0.0506072618810484,original,bayesian_fd
39,,investment,,-0.213542853212021,-0.511822341698432,0.0375715094322947,original,bayesian_fd
40,,investment,,-0.212410744509531,-0.513049715319745,0.0300093148266849,original,bayesian_fd
1,,consumption,,-0.116509984706658,-0.153063859853873,-0.0816866102111792,original,bayesian_fd
2,,consumption,,-0.173239530496903,-0.211283027124871,-0.134254187914113,original,bayesian_fd
3,,consumption,,-0.197552232711026,-0.241009882897117,-0.150668691564486,original,bayesian_fd
4,,consumption,,-0.206429607789494,-0.261047860305255,-0.149232187128811,original,bayesian_fd
5,,consumption,,-0.206239212718555,-0.270570225462718,-0.137180196776627,original,bayesian_fd
6,,consumption,,-0.196729442364434,-0.271483200765013,-0.122670778985625,original,bayesian_fd
7,,consumption,,-0.183495603079839,-0.265937882507169,-0.0999447939755257,original,bayesian_fd
8,,consumption,,-0.165959829301642,-0.255972732839052,-0.075926223128254,original,bayesian_fd
9,,consumption,,-0.145285107109175,-0.246218557627814,-0.0461594349201794,original,bayesian_fd
10,,consumption,,-0.124480708401554,-0.232071911444237,-0.0168478464950054,original,bayesian_fd
11,,consumption,,-0.103380370070088,-0.216806824516166,0.0113931679325803,original,bayesian_fd
12,,consumption,,-0.0830364352610613,-0.202098608007176,0.0439281112098803,original,bayesian_fd
13,,consumption,,-0.0665705111246994,-0.187970941548347,0.0674850916762741,original,bayesian_fd
14,,consumption,,-0.0477394523933397,-0.175458953113772,0.0945994811167361,original,bayesian_fd
15,,consumption,,-0.0321845782190624,-0.165474829861482,0.116908445724492,original,bayesian_fd
16,,consumption,,-0.0203070288586544,-0.158395635994301,0.133816349389979,original,bayesian_fd
17,,consumption,,-0.00836116820205372,-0.15531968856171,0.150627762724607,original,bayesian_fd
18,,consumption,,-0.00186205250830979,-0.150490185725297,0.160369652350153,original,bayesian_fd
19,,consumption,,0.00335704101288648,-0.148673277284247,0.165461514590579,original,bayesian_fd
20,,consumption,,0.0079578647163402,-0.148132732971581,0.168554936001035,original,bayesian_fd
21,,consumption,,0.00751730881002228,-0.149120933120777,0.172400185135893,original,bayesian_fd
22,,consumption,,0.00692358981547874,-0.149946867935572,0.173533233775679,original,bayesian_fd
23,,consumption,,0.00687035219609606,-0.153112880748175,0.174064484205343,original,bayesian_fd
24,,consumption,,0.00357129322866144,-0.159151294608311,0.168542409645924,original,bayesian_fd
25,,consumption,,0.00103447572344297,-0.163915604350873,0.164223468871949,original,bayesian_fd
26,,consumption,,-0.00181479225050379,-0.170040336233669,0.157054053422498,original,bayesian_fd
27,,consumption,,-0.00838949095601857,-0.177044690315064,0.150365414541893,original,bayesian_fd
28,,consumption,,-0.0131705255591632,-0.183782548335471,0.144886267317013,original,bayesian_fd
29,,consumption,,-0.0184151643334113,-0.193618956238299,0.139273677657101,original,bayesian_fd
30,,consumption,,-0.0239946788962317,-0.198433674463739,0.134848154471309,original,bayesian_fd
31,,consumption,,-0.0304345160288788,-0.209572515927833,0.1280801891295,original,bayesian_fd
32,,consumption,,-0.0381426408347323,-0.215668658457496,0.123448336947458,original,bayesian_fd
33,,consumption,,-0.0481759930956347,-0.221388884803564,0.116415246820419,original,bayesian_fd
34,,consumption,,-0.0538190472926289,-0.228600684938082,0.107105470801682,original,bayesian_fd
35,,consumption,,-0.0595769882021815,-0.235013669643546,0.100865823501536,original,bayesian_fd
36,,consumption,,-0.0647466160201618,-0.239869117905091,0.0912792624452339,original,bayesian_fd
37,,consumption,,-0.068229674255699,-0.243286808444386,0.0850258292214892,original,bayesian_fd
38,,consumption,,-0.0718552214903895,-0.249197783917487,0.0797196374926896,original,bayesian_fd
39,,consumption,,-0.0761510362887103,-0.25560277304016,0.0774724935524101,original,bayesian_fd
40,,consumption,,-0.081138029491999,-0.25958630459596,0.0741491524351782,original,bayesian_fd
1,,hours_worked,,-0.445534925385919,-0.491257289178448,-0.398613227690513,original,bayesian_fd
2,,hours_worked,,-0.474736570980796,-0.519733545563219,-0.429819337917211,original,bayesian_fd
3,,hours_worked,,-0.478969522326069,-0.536412320272657,-0.419005730875498,original,bayesian_fd
4,,hours_worked,,-0.460524242489689,-0.53277763537921,-0.389130269331396,original,bayesian_fd
5,,hours_worked,,-0.423816314721087,-0.514881345111736,-0.344110914775261,original,bayesian_fd
6,,hours_worked,,-0.384533167737055,-0.486270096828006,-0.292420718570679,original,bayesian_fd
7,,hours_worked,,-0.338268992164198,-0.447981468426796,-0.237018667316416,original,bayesian_fd
8,,hours_worked,,-0.288920695762555,-0.408420571249522,-0.181421662199903,original,bayesian_fd
9,,hours_worked,,-0.238970181228178,-0.36350148329894,-0.121024316485936,original,bayesian_fd
10,,hours_worked,,-0.190143173114937,-0.318345797577298,-0.066940005497448,original,bayesian_fd
11,,hours_worked,,-0.140999048273211,-0.270201909753679,-0.0179629065975156,original,bayesian_fd
12,,hours_worked,,-0.0968271880226709,-0.229360299673128,0.0301891562117602,original,bayesian_fd
13,,hours_worked,,-0.0553295850007745,-0.190122714960021,0.0738194645999748,original,bayesian_fd
14,,hours_worked,,-0.0193490922854515,-0.154141423807865,0.109367481287437,original,bayesian_fd
15,,hours_worked,,0.0108389833776021,-0.124126544229845,0.142991438142008,original,bayesian_fd
16,,hours_worked,,0.0357503945247114,-0.0958550662397125,0.171272791214162,original,bayesian_fd
17,,hours_worked,,0.0561031571341975,-0.0741144716638508,0.197747448146728,original,bayesian_fd
18,,hours_worked,,0.0725646710049654,-0.0581360067474188,0.211917404351183,original,bayesian_fd
19,,hours_worked,,0.0816528913128744,-0.0472987729771227,0.221998986328087,original,bayesian_fd
20,,hours_worked,,0.0870995618406646,-0.0424415749717021,0.229041525368695,original,bayesian_fd
21,,hours_worked,,0.0874299183556535,-0.0346542974927492,0.228065169130548,original,bayesian_fd
22,,hours_worked,,0.0864333180779593,-0.035427174800219,0.226240176196251,original,bayesian_fd
23,,hours_worked,,0.0823691982382968,-0.0376160341493248,0.217729103372036,original,bayesian_fd
24,,hours_worked,,0.0748098035965193,-0.0413161051152934,0.21155137268788,original,bayesian_fd
25,,hours_worked,,0.0691756731909946,-0.0463590809486727,0.199215612742596,original,bayesian_fd
26,,hours_worked,,0.059624071906566,-0.0539275498169713,0.186654135144461,original,bayesian_fd
27,,hours_worked,,0.0495159931139911,-0.0619011749551344,0.170780567861841,original,bayesian_fd
28,,hours_worked,,0.0409026192683431,-0.067900939533202,0.158377685792716,original,bayesian_fd
29,,hours_worked,,0.0296745883856255,-0.075565133939818,0.142254634486891,original,bayesian_fd
30,,hours_worked,,0.01921932880716,-0.085456585581027,0.131502317717786,original,bayesian_fd
31,,hours_worked,,0.00684515747779168,-0.0959621091281718,0.11920506458004,original,bayesian_fd
32,,hours_worked,,-0.003799274853099,-0.107148757459934,0.106350170671207,original,bayesian_fd
33,,hours_worked,,-0.0134170430147922,-0.115095477622812,0.0935922109449047,original,bayesian_fd
34,,hours_worked,,-0.0227272463374055,-0.123496437548844,0.0816329383529188,original,bayesian_fd
35,,hours_worked,,-0.0297217543157888,-0.131151891433062,0.0726294887597837,original,bayesian_fd
36,,hours_worked,,-0.0372709940195659,-0.138077279413515,0.0626067655691381,original,bayesian_fd
37,,hours_worked,,-0.0442795006545925,-0.147035608090451,0.0550700964635729,original,bayesian_fd
38,,hours_worked,,-0.0498511615835362,-0.153021431673378,0.0498069336824537,original,bayesian_fd
39,,hours_worked,,-0.0548006648860641,-0.157315765558017,0.0445950935602789,original,bayesian_fd
40,,hours_worked,,-0.0585675848205191,-0.161769632327529,0.0394000420667708,original,bayesian_fd
1,,unemployment,,0.245778734707419,0.227895888500873,0.26337547943446,original,bayesian_fd
2,,unemployment,,0.322470619422101,0.305379213970172,0.34164832916927,original,bayesian_fd
3,,unemployment,,0.345229747217754,0.322333994707209,0.366921429430014,original,bayesian_fd
4,,unemployment,,0.347244953010249,0.314161028088909,0.378212710095673,original,bayesian_fd
5,,unemployment,,0.337128755698779,0.294903213085705,0.377077058672931,original,bayesian_fd
6,,unemployment,,0.316933146177291,0.267415545478124,0.36653807244589,original,bayesian_fd
7,,unemployment,,0.290220635014992,0.233938044810511,0.34761683996836,original,bayesian_fd
8,,unemployment,,0.258668050225082,0.197746666674431,0.320424701348034,original,bayesian_fd
9,,unemployment,,0.22488477297752,0.161884195979239,0.289538378895504,original,bayesian_fd
10,,unemployment,,0.189755695121,0.12567551655404,0.254647753427832,original,bayesian_fd
11,,unemployment,,0.154889825089064,0.0883945799640218,0.222512106314792,original,bayesian_fd
12,,unemployment,,0.121151796115464,0.056801241404324,0.190062650617075,original,bayesian_fd
13,,unemployment,,0.0890426004116699,0.0248690340773421,0.157677744022735,original,bayesian_fd
14,,unemployment,,0.061092992636286,-0.00432603990872813,0.129725325944544,original,bayesian_fd
15,,unemployment,,0.0343233298688799,-0.0288817079847901,0.101907923411481,original,bayesian_fd
16,,unemployment,,0.0110576895249831,-0.0536508694076939,0.0775654153766921,original,bayesian_fd
17,,unemployment,,-0.00865557288237751,-0.0719564469787813,0.0565134236688379,original,bayesian_fd
18,,unemployment,,-0.024366395152659,-0.0862625638137663,0.0400980567910481,original,bayesian_fd
19,,unemployment,,-0.0362102450108796,-0.0963014603163684,0.0250582921869768,original,bayesian_fd
20,,unemployment,,-0.0458766275662792,-0.107844892925396,0.0125463711598911,original,bayesian_fd
21,,unemployment,,-0.0528788495396794,-0.113540813471689,0.000956549068473606,original,bayesian_fd
22,,unemployment,,-0.0588522058790203,-0.11745237768771,-0.00662740972840303,original,bayesian_fd
23,,unemployment,,-0.0625746898497508,-0.116483144343208,-0.0115848923090165,original,bayesian_fd
24,,unemployment,,-0.0631465327993526,-0.116893840800277,-0.0148642718831147,original,bayesian_fd
25,,unemployment,,-0.0619580774281496,-0.114922770247933,-0.0147576582442472,original,bayesian_fd
26,,unemployment,,-0.0596692044307499,-0.112594139958032,-0.0138797362411183,original,bayesian_fd
27,,unemployment,,-0.0566443033802565,-0.108093217707564,-0.0129185419059016,original,bayesian_fd
28,,unemployment,,-0.0531192031660004,-0.103262608889923,-0.0114690430633445,original,bayesian_fd
29,,unemployment,,-0.0484794171736147,-0.0978368768756791,-0.00936729413987292,original,bayesian_fd
30,,unemployment,,-0.0434981623731093,-0.0930627774403911,-0.00559059003850157,original,bayesian_fd
31,,unemployment,,-0.038955794406975,-0.0873718310665431,-0.00226260979990599,original,bayesian_fd
32,,unemployment,,-0.0349732031906987,-0.0802326292176315,0.00121499479195924,original,bayesian_fd
33,,unemployment,,-0.0304040386037718,-0.0741743707654614,0.0049697851798219,original,bayesian_fd
34,,unemployment,,-0.0269247219701471,-0.0688668535048092,0.00684443520260618,original,bayesian_fd
35,,unemployment,,-0.0231046567715194,-0.0639898014649999,0.00880907689777274,original,bayesian_fd
36,,unemployment,,-0.0200216568353699,-0.0598549962267303,0.0112109767025515,original,bayesian_fd
37,,unemployment,,-0.0164480576375787,-0.0555803355294523,0.0126460852822393,original,bayesian_fd
38,,unemployment,,-0.0140417224757691,-0.0529047310914673,0.0132159069176663,original,bayesian_fd
39,,unemployment,,-0.0124949446763444,-0.0494912940208661,0.0150921623643233,original,bayesian_fd
40,,unemployment,,-0.0105120454188891,-0.0461516634216096,0.0167700317412636,original,bayesian_fd
1,,labor_share,,0.369966106401324,0.277929493414217,0.456984378358611,original,bayesian_fd
2,,labor_share,,0.216792891413881,0.137212738976657,0.288548328832542,original,bayesian_fd
3,,labor_share,,0.118333940184943,0.0469541793680969,0.182030957946757,original,bayesian_fd
4,,labor_share,,0.0285958761616858,-0.0339480770000803,0.0887527401874421,original,bayesian_fd
5,,labor_share,,-0.0405141154086719,-0.100682649211922,0.0148889347720091,original,bayesian_fd
6,,labor_share,,-0.0965967930015549,-0.152887184674994,-0.0426286211680057,original,bayesian_fd
7,,labor_share,,-0.138232700216783,-0.192130483552154,-0.0827038657227667,original,bayesian_fd
8,,labor_share,,-0.167580196075184,-0.221669650549666,-0.112288823564604,original,bayesian_fd
9,,labor_share,,-0.184773588929701,-0.241575473601672,-0.127710150066089,original,bayesian_fd
10,,labor_share,,-0.191869943839809,-0.252044498342574,-0.133628448780968,original,bayesian_fd
11,,labor_share,,-0.193011175820126,-0.255801602179341,-0.131790856044323,original,bayesian_fd
12,,labor_share,,-0.187201982938191,-0.253940730511844,-0.12486646984327,original,bayesian_fd
13,,labor_share,,-0.175633008482177,-0.24745851844134,-0.113734263657901,original,bayesian_fd
14,,labor_share,,-0.161723083732908,-0.238870847866131,-0.0985817756847675,original,bayesian_fd
15,,labor_share,,-0.144910697239707,-0.223962426130551,-0.0821910115372964,original,bayesian_fd
16,,labor_share,,-0.127973342492844,-0.203810877529014,-0.0622426309530716,original,bayesian_fd
17,,labor_share,,-0.110722346190688,-0.184958869502349,-0.0436555332168542,original,bayesian_fd
18,,labor_share,,-0.0925194644436699,-0.166091152997672,-0.0250709759663224,original,bayesian_fd
19,,labor_share,,-0.0746279290849965,-0.147586510163558,-0.00876600459717067,original,bayesian_fd
20,,labor_share,,-0.0585558625794916,-0.131433447197485,0.00845989750669096,original,bayesian_fd
21,,labor_share,,-0.0423989416768103,-0.113594551232711,0.0232133199070588,original,bayesian_fd
22,,labor_share,,-0.0280885197529259,-0.0992348610714589,0.0363392212154291,original,bayesian_fd
23,,labor_share,,-0.0178080806050774,-0.0882009983308893,0.0481435881482877,original,bayesian_fd
24,,labor_share,,-0.00778694379349614,-0.0759211326283384,0.056565683470676,original,bayesian_fd
25,,labor_share,,-0.000205942996403356,-0.0657571229326569,0.0645497297232796,original,bayesian_fd
26,,labor_share,,0.00740389444251267,-0.05830693140826,0.068564063468049,original,bayesian_fd
27,,labor_share,,0.0123909537468123,-0.0522970557411605,0.0727977052540892,original,bayesian_fd
28,,labor_share,,0.0164815616209204,-0.0470175082108767,0.075701623737859,original,bayesian_fd
29,,labor_share,,0.0171599043244536,-0.0444803445664794,0.0775361918073335,original,bayesian_fd
30,,labor_share,,0.0179190438151021,-0.0434044068797861,0.0774115344773915,original,bayesian_fd
31,,labor_share,,0.018115503928759,-0.0428057400390052,0.0761533725392436,original,bayesian_fd
32,,labor_share,,0.0168413996352153,-0.0417158716003958,0.0727505064060076,original,bayesian_fd
33,,labor_share,,0.0145941340864869,-0.0420188523155237,0.0696697950847408,original,bayesian_fd
34,,labor_share,,0.0123751407101294,-0.0431164647395541,0.0657789755145578,original,bayesian_fd
35,,labor_share,,0.00899990608051088,-0.0454586729714204,0.0603754429425572,original,bayesian_fd
36,,labor_share,,0.00724939390793726,-0.0475284778553257,0.0558078428651158,original,bayesian_fd
37,,labor_share,,0.00381666679485339,-0.0487687460010166,0.0518848486586519,original,bayesian_fd
38,,labor_share,,-0.000457518706169023,-0.0509139902053701,0.0485428991011105,original,bayesian_fd
39,,labor_share,,-0.00405621502786277,-0.0535734781003102,0.0456642914751955,original,bayesian_fd
40,,labor_share,,-0.00775057274146098,-0.0550791358241416,0.0407160794123597,original,bayesian_fd
1,,interest,,-0.0628546802882835,-0.0856150881413915,-0.0380102397957927,original,bayesian_fd
2,,interest,,-0.0838529844329518,-0.107448890895679,-0.0596616659988075,original,bayesian_fd
3,,interest,,-0.0947410862547431,-0.116552292955269,-0.0717457073416551,original,bayesian_fd
4,,interest,,-0.0999755581201384,-0.124096321828484,-0.0769608362351087,original,bayesian_fd
5,,interest,,-0.102688032615165,-0.12905498995265,-0.0787799544125527,original,bayesian_fd
6,,interest,,-0.101647695399436,-0.12945330713047,-0.0782762096950907,original,bayesian_fd
7,,interest,,-0.0989353514351291,-0.127023988967226,-0.0741886084626252,original,bayesian_fd
8,,interest,,-0.0939358665792069,-0.123286367123541,-0.0685903132352053,original,bayesian_fd
9,,interest,,-0.0870093276174438,-0.117383652251477,-0.0620032653352312,original,bayesian_fd
10,,interest,,-0.0796658829217548,-0.110980567952302,-0.0534800663440377,original,bayesian_fd
11,,interest,,-0.0715099728474589,-0.104329220431898,-0.0452337142646866,original,bayesian_fd
12,,interest,,-0.0629846291159985,-0.0962151488449602,-0.0372553906150386,original,bayesian_fd
13,,interest,,-0.0545397845877568,-0.0889433436338778,-0.0291073571871772,original,bayesian_fd
14,,interest,,-0.0463659354472654,-0.0815101187107126,-0.0205683076458205,original,bayesian_fd
15,,interest,,-0.0387241692256388,-0.0721521489422572,-0.0127726021467457,original,bayesian_fd
16,,interest,,-0.0323330429469473,-0.0646315736298189,-0.00538354394394138,original,bayesian_fd
17,,interest,,-0.0255622355003392,-0.0569680110277167,0.000326438247419056,original,bayesian_fd
18,,interest,,-0.0201073509290989,-0.050187659289427,0.00591918287560387,original,bayesian_fd
19,,interest,,-0.0159307210748432,-0.0447150135509227,0.00977923077417007,original,bayesian_fd
20,,interest,,-0.0124819801553662,-0.0399728507347152,0.0139961489732501,original,bayesian_fd
21,,interest,,-0.00912283596355392,-0.0357775892157604,0.0164982834367474,original,bayesian_fd
22,,interest,,-0.00592772507429962,-0.0328977800870211,0.0185545290534764,original,bayesian_fd
23,,interest,,-0.00398730176922359,-0.0307174885431222,0.01989542988126,original,bayesian_fd
24,,interest,,-0.00254352494133853,-0.0290409862582891,0.0204084226823075,original,bayesian_fd
25,,interest,,-0.00141900909804949,-0.0278615531479304,0.0207308799636159,original,bayesian_fd
26,,interest,,-0.00128512439714554,-0.027489908244437,0.0200768252646419,original,bayesian_fd
27,,interest,,-0.0012473669551291,-0.0265056184282927,0.0204223748973784,original,bayesian_fd
28,,interest,,-0.00159718731914159,-0.0257769503958843,0.019088274122852,original,bayesian_fd
29,,interest,,-0.00260514548409579,-0.0259319396303065,0.017853544591705,original,bayesian_fd
30,,interest,,-0.00352260325369421,-0.0256461654857154,0.0166846594036789,original,bayesian_fd
31,,interest,,-0.00459176010995656,-0.0257867143432873,0.0150856182816237,original,bayesian_fd
32,,interest,,-0.00573638559609439,-0.0266330305653576,0.0136861014040414,original,bayesian_fd
33,,interest,,-0.00664912298579348,-0.0277997515238835,0.0121949786548169,original,bayesian_fd
34,,interest,,-0.00785649923945778,-0.0282305924948508,0.010884524177303,original,bayesian_fd
35,,interest,,-0.00862377413052557,-0.0292204113298077,0.009300766368463,original,bayesian_fd
36,,interest,,-0.00951494963028384,-0.0296147310542413,0.00779229887777032,original,bayesian_fd
37,,interest,,-0.0105760452320005,-0.02996503502508,0.00655350564881409,original,bayesian_fd
38,,interest,,-0.0114750427144803,-0.0306974933665172,0.00561425528221877,original,bayesian_fd
39,,interest,,-0.0118325454199591,-0.0314301087766121,0.00481648823862439,original,bayesian_fd
40,,interest,,-0.0122702323022281,-0.0319336860275358,0.00393126875072852,original,bayesian_fd
1,,inflation,,0.0149215237504596,-0.0141621496187232,0.041723538279105,original,bayesian_fd
2,,inflation,,-0.00420038456451289,-0.0243407537054288,0.0148603394935825,original,bayesian_fd
3,,inflation,,-0.0202197677733011,-0.0378892077474511,-0.00269269024324845,original,bayesian_fd
4,,inflation,,-0.0291539879984766,-0.0453943643590699,-0.0109626761063986,original,bayesian_fd
5,,inflation,,-0.0346885175677346,-0.0508325634953043,-0.0170038878278386,original,bayesian_fd
6,,inflation,,-0.0369544211971347,-0.0538026145524043,-0.0202556147077654,original,bayesian_fd
7,,inflation,,-0.0373942786191087,-0.0552642034357432,-0.0212560731487988,original,bayesian_fd
8,,inflation,,-0.0363912466431306,-0.0554275503507137,-0.0202842170525575,original,bayesian_fd
9,,inflation,,-0.0345169670856534,-0.0544086110688886,-0.0182831937331968,original,bayesian_fd
10,,inflation,,-0.0323744936247232,-0.0524380955281802,-0.0155589272726419,original,bayesian_fd
11,,inflation,,-0.0295650777215797,-0.0497485622205064,-0.0125554702192796,original,bayesian_fd
12,,inflation,,-0.0268710672193599,-0.0463034778640041,-0.00926053645847066,original,bayesian_fd
13,,inflation,,-0.0241298447349593,-0.0425085128826772,-0.00676909151236322,original,bayesian_fd
14,,inflation,,-0.0210350400327634,-0.0393667268519668,-0.00441344728725193,original,bayesian_fd
15,,inflation,,-0.0181933345100308,-0.0363309289331886,-0.00157454198866166,original,bayesian_fd
16,,inflation,,-0.0152973937007487,-0.0337985746554711,0.00103810006465379,original,bayesian_fd
17,,inflation,,-0.0128461018642704,-0.0306870012756599,0.00333440988957234,original,bayesian_fd
18,,inflation,,-0.0106494167946728,-0.0284399852345889,0.00492242148480291,original,bayesian_fd
19,,inflation,,-0.00869250582999633,-0.025996007091088,0.00670209862116724,original,bayesian_fd
20,,inflation,,-0.00725091140533185,-0.0243032524014889,0.00768412305270466,original,bayesian_fd
21,,inflation,,-0.00592396731434072,-0.0226920213810985,0.00920129685555403,original,bayesian_fd
22,,inflation,,-0.00503637704176587,-0.0217860259714796,0.00981376580784556,original,bayesian_fd
23,,inflation,,-0.00425351451809001,-0.0205490814909546,0.00985077286757977,original,bayesian_fd
24,,inflation,,-0.00355783774425574,-0.0198118144657486,0.00988400052975693,original,bayesian_fd
25,,inflation,,-0.00320403332022748,-0.0192510472840918,0.0100193618460216,original,bayesian_fd
26,,inflation,,-0.0031437227338045,-0.0182587403629256,0.00986892960671328,original,bayesian_fd
27,,inflation,,-0.00288192503428246,-0.0172456550837259,0.00990767405667314,original,bayesian_fd
28,,inflation,,-0.00297236876275491,-0.0169800666330381,0.00946942190526722,original,bayesian_fd
29,,inflation,,-0.00335763501748898,-0.0172826061283561,0.00895203131574705,original,bayesian_fd
30,,inflation,,-0.00347930589407444,-0.017433388826204,0.00844603396378189,original,bayesian_fd
31,,inflation,,-0.00367211260569136,-0.0172237160730651,0.00790510583129794,original,bayesian_fd
32,,inflation,,-0.00390397859975931,-0.0169991700558269,0.00728462218007697,original,bayesian_fd
33,,inflation,,-0.00445491467635628,-0.0166172912665942,0.00685508420607027,original,bayesian_fd
34,,inflation,,-0.00489160578878688,-0.0162483997934084,0.00597848718325001,original,bayesian_fd
